total_runs,wickets,target,balls_left,won,current_run_rate,required_run_rate
0.0,0.0,125,119.0,1,0.0,6.302521008403362
0.0,0.0,125,118.0,1,0.0,6.3559322033898304
1.0,0.0,125,117.0,1,2.0,6.410256410256411
1.0,1.0,125,116.0,1,1.5,6.465517241379311
1.0,1.0,125,115.0,1,1.2000000000000002,6.521739130434782
2.0,1.0,125,114.0,1,2.0,6.578947368421053
2.0,1.0,125,113.0,1,1.7142857142857142,6.63716814159292
2.0,1.0,125,112.0,1,1.5,6.696428571428571
2.0,1.0,125,111.0,1,1.3333333333333333,6.756756756756757
4.0,1.0,125,110.0,1,2.4000000000000004,6.818181818181818
4.0,2.0,125,109.0,1,2.1818181818181817,6.8807339449541285
5.0,2.0,125,108.0,1,2.5,6.944444444444445
6.0,2.0,125,107.0,1,2.769230769230769,7.009345794392523
6.0,2.0,125,106.0,1,2.571428571428571,7.075471698113208
8.0,2.0,125,105.0,1,3.2,7.142857142857142
8.0,2.0,125,104.0,1,3.0,7.211538461538462
8.0,2.0,125,103.0,1,2.8235294117647056,7.281553398058252
10.0,2.0,125,102.0,1,3.3333333333333335,7.352941176470589
10.0,2.0,125,101.0,1,3.1578947368421053,7.425742574257425
14.0,2.0,125,101.0,1,4.421052631578947,7.425742574257425
18.0,2.0,125,100.0,1,5.4,7.5
19.0,2.0,125,99.0,1,5.428571428571429,7.575757575757575
25.0,2.0,125,98.0,1,6.818181818181818,7.653061224489796
31.0,2.0,125,97.0,1,8.08695652173913,7.731958762886599
31.0,2.0,125,96.0,1,7.75,7.8125
32.0,2.0,125,95.0,1,7.68,7.894736842105264
32.0,2.0,125,94.0,1,7.384615384615385,7.9787234042553195
32.0,2.0,125,93.0,1,7.111111111111111,8.064516129032258
33.0,2.0,125,92.0,1,7.071428571428571,8.152173913043478
37.0,2.0,125,91.0,1,7.655172413793104,8.241758241758241
41.0,2.0,125,90.0,1,8.2,8.333333333333332
43.0,2.0,125,89.0,1,8.322580645161292,8.426966292134832
43.0,2.0,125,89.0,1,8.322580645161292,8.426966292134832
43.0,2.0,125,88.0,1,8.0625,8.522727272727273
48.0,2.0,125,87.0,1,8.727272727272727,8.620689655172413
54.0,2.0,125,86.0,1,9.529411764705882,8.720930232558139
56.0,2.0,125,85.0,1,9.600000000000001,8.823529411764707
57.0,2.0,125,84.0,1,9.5,8.928571428571429
57.0,2.0,125,83.0,1,9.243243243243244,9.036144578313253
58.0,2.0,125,83.0,1,9.405405405405405,9.036144578313253
59.0,2.0,125,82.0,1,9.31578947368421,9.146341463414634
60.0,2.0,125,81.0,1,9.230769230769232,9.25925925925926
62.0,2.0,125,80.0,1,9.3,9.375
62.0,2.0,125,79.0,1,9.073170731707318,9.49367088607595
62.0,2.0,125,78.0,1,8.857142857142858,9.615384615384617
62.0,2.0,125,77.0,1,8.651162790697674,9.74025974025974
62.0,2.0,125,76.0,1,8.454545454545455,9.868421052631579
66.0,2.0,125,75.0,1,8.799999999999999,10.0
72.0,2.0,125,74.0,1,9.391304347826088,10.135135135135135
76.0,2.0,125,73.0,1,9.702127659574467,10.273972602739725
77.0,2.0,125,72.0,1,9.625,10.416666666666668
77.0,2.0,125,71.0,1,9.428571428571429,10.563380281690142
77.0,2.0,125,70.0,1,9.24,10.714285714285715
77.0,2.0,125,69.0,1,9.058823529411764,10.869565217391305
77.0,2.0,125,68.0,1,8.884615384615385,11.029411764705882
77.0,2.0,125,67.0,1,8.716981132075471,11.194029850746269
78.0,2.0,125,66.0,1,8.666666666666666,11.363636363636363
79.0,2.0,125,65.0,1,8.618181818181817,11.538461538461538
80.0,2.0,125,64.0,1,8.571428571428571,11.71875
81.0,2.0,125,63.0,1,8.526315789473685,11.904761904761905
82.0,2.0,125,62.0,1,8.482758620689655,12.096774193548388
82.0,2.0,125,61.0,1,8.338983050847459,12.295081967213115
82.0,2.0,125,60.0,1,8.2,12.5
82.0,2.0,125,59.0,1,8.065573770491802,12.711864406779661
82.0,2.0,125,58.0,1,7.935483870967742,12.931034482758623
84.0,2.0,125,57.0,1,8.0,13.157894736842106
86.0,2.0,125,56.0,1,8.0625,13.392857142857142
87.0,2.0,125,55.0,1,8.03076923076923,13.636363636363637
91.0,2.0,125,54.0,1,8.272727272727273,13.88888888888889
92.0,2.0,125,53.0,1,8.238805970149254,14.150943396226417
93.0,2.0,125,52.0,1,8.205882352941178,14.423076923076923
93.0,2.0,125,51.0,1,8.08695652173913,14.705882352941178
94.0,2.0,125,50.0,1,8.057142857142857,15.0
95.0,2.0,125,49.0,1,8.028169014084508,15.306122448979592
99.0,2.0,125,48.0,1,8.25,15.625
100.0,2.0,125,47.0,1,8.21917808219178,15.957446808510639
100.0,2.0,125,46.0,1,8.108108108108109,16.304347826086957
106.0,2.0,125,45.0,1,8.48,16.666666666666664
107.0,2.0,125,44.0,1,8.447368421052632,17.045454545454547
111.0,2.0,125,43.0,1,8.649350649350648,17.441860465116278
111.0,2.0,125,42.0,1,8.538461538461538,17.857142857142858
111.0,2.0,125,41.0,1,8.430379746835442,18.29268292682927
112.0,2.0,125,40.0,1,8.399999999999999,18.75
113.0,2.0,125,39.0,1,8.37037037037037,19.230769230769234
113.0,3.0,125,38.0,1,8.268292682926829,19.736842105263158
113.0,3.0,125,37.0,1,8.168674698795181,20.27027027027027
113.0,3.0,125,36.0,1,8.071428571428573,20.833333333333336
113.0,3.0,125,35.0,1,7.976470588235294,21.42857142857143
117.0,3.0,125,34.0,1,8.162790697674419,22.058823529411764
117.0,3.0,125,33.0,1,8.068965517241379,22.727272727272727
117.0,3.0,125,32.0,1,7.9772727272727275,23.4375
118.0,3.0,125,31.0,1,7.95505617977528,24.193548387096776
118.0,3.0,125,30.0,1,7.866666666666667,25.0
119.0,3.0,125,29.0,1,7.846153846153847,25.862068965517246
125.0,3.0,125,28.0,1,8.152173913043478,26.785714285714285
125.0,3.0,125,27.0,1,8.064516129032258,27.77777777777778
125.0,3.0,125,26.0,1,7.9787234042553195,28.846153846153847
131.0,3.0,125,25.0,1,8.273684210526316,30.0
0.0,0.0,145,119.0,0,0.0,7.310924369747898
1.0,0.0,145,118.0,0,3.0,7.372881355932204
5.0,0.0,145,117.0,0,10.0,7.435897435897436
9.0,0.0,145,116.0,0,13.5,7.5
9.0,1.0,145,115.0,0,10.8,7.565217391304348
14.0,1.0,145,114.0,0,14.0,7.631578947368421
14.0,1.0,145,113.0,0,12.0,7.699115044247788
14.0,1.0,145,113.0,0,12.0,7.699115044247788
18.0,1.0,145,112.0,0,13.5,7.767857142857143
18.0,1.0,145,111.0,0,12.0,7.837837837837838
18.0,1.0,145,110.0,0,10.8,7.909090909090908
22.0,1.0,145,109.0,0,12.0,7.9816513761467895
26.0,1.0,145,108.0,0,13.0,8.055555555555555
27.0,1.0,145,107.0,0,12.461538461538463,8.130841121495328
27.0,1.0,145,106.0,0,11.571428571428571,8.20754716981132
27.0,1.0,145,105.0,0,10.8,8.285714285714285
27.0,1.0,145,104.0,0,10.125,8.365384615384615
27.0,1.0,145,103.0,0,9.529411764705882,8.446601941747574
27.0,1.0,145,102.0,0,9.0,8.529411764705882
27.0,1.0,145,101.0,0,8.526315789473685,8.613861386138613
27.0,1.0,145,101.0,0,8.526315789473685,8.613861386138613
28.0,1.0,145,100.0,0,8.399999999999999,8.7
29.0,1.0,145,99.0,0,8.285714285714285,8.787878787878789
30.0,1.0,145,98.0,0,8.181818181818182,8.877551020408163
30.0,2.0,145,97.0,0,7.826086956521739,8.969072164948454
30.0,2.0,145,96.0,0,7.5,9.0625
30.0,2.0,145,95.0,0,7.199999999999999,9.157894736842106
30.0,2.0,145,94.0,0,6.9230769230769225,9.25531914893617
30.0,2.0,145,95.0,0,7.199999999999999,9.157894736842106
31.0,2.0,145,94.0,0,7.153846153846153,9.25531914893617
31.0,2.0,145,93.0,0,6.888888888888889,9.35483870967742
32.0,2.0,145,92.0,0,6.857142857142857,9.456521739130434
33.0,2.0,145,91.0,0,6.827586206896552,9.56043956043956
34.0,2.0,145,90.0,0,6.8,9.666666666666668
35.0,2.0,145,89.0,0,6.774193548387098,9.775280898876405
37.0,2.0,145,88.0,0,6.9375,9.886363636363637
37.0,2.0,145,87.0,0,6.727272727272727,10.0
37.0,3.0,145,86.0,0,6.529411764705882,10.116279069767442
41.0,3.0,145,85.0,0,7.0285714285714285,10.235294117647058
41.0,3.0,145,84.0,0,6.833333333333333,10.357142857142858
42.0,3.0,145,83.0,0,6.8108108108108105,10.481927710843372
42.0,3.0,145,82.0,0,6.631578947368421,10.609756097560975
43.0,3.0,145,81.0,0,6.615384615384616,10.74074074074074
43.0,3.0,145,80.0,0,6.449999999999999,10.875
43.0,3.0,145,79.0,0,6.2926829268292686,11.012658227848101
44.0,3.0,145,78.0,0,6.2857142857142865,11.153846153846153
44.0,3.0,145,77.0,0,6.1395348837209305,11.2987012987013
44.0,3.0,145,76.0,0,6.0,11.447368421052632
46.0,3.0,145,75.0,0,6.133333333333333,11.6
46.0,3.0,145,74.0,0,6.0,11.756756756756756
46.0,3.0,145,73.0,0,5.872340425531915,11.917808219178081
47.0,3.0,145,72.0,0,5.875,12.083333333333332
51.0,3.0,145,71.0,0,6.244897959183674,12.253521126760564
52.0,3.0,145,70.0,0,6.24,12.42857142857143
53.0,3.0,145,69.0,0,6.23529411764706,12.608695652173914
55.0,3.0,145,68.0,0,6.346153846153847,12.794117647058822
55.0,4.0,145,67.0,0,6.226415094339623,12.985074626865671
55.0,4.0,145,66.0,0,6.111111111111112,13.18181818181818
59.0,4.0,145,65.0,0,6.4363636363636365,13.384615384615385
59.0,4.0,145,64.0,0,6.321428571428571,13.59375
59.0,4.0,145,63.0,0,6.210526315789474,13.809523809523808
60.0,4.0,145,62.0,0,6.206896551724139,14.03225806451613
61.0,4.0,145,61.0,0,6.203389830508474,14.262295081967213
61.0,4.0,145,60.0,0,6.1,14.5
63.0,4.0,145,59.0,0,6.19672131147541,14.745762711864408
64.0,4.0,145,58.0,0,6.193548387096774,15.0
65.0,4.0,145,57.0,0,6.190476190476192,15.263157894736842
66.0,4.0,145,56.0,0,6.1875,15.535714285714286
66.0,5.0,145,55.0,0,6.092307692307692,15.818181818181817
66.0,5.0,145,54.0,0,6.0,16.11111111111111
67.0,5.0,145,53.0,0,6.0,16.41509433962264
68.0,5.0,145,52.0,0,6.0,16.73076923076923
68.0,5.0,145,51.0,0,5.91304347826087,17.058823529411764
69.0,5.0,145,50.0,0,5.914285714285715,17.4
69.0,5.0,145,49.0,0,5.830985915492958,17.755102040816325
70.0,5.0,145,48.0,0,5.833333333333333,18.125
70.0,5.0,145,47.0,0,5.7534246575342465,18.51063829787234
70.0,5.0,145,46.0,0,5.675675675675675,18.913043478260867
70.0,6.0,145,45.0,0,5.6,19.333333333333336
76.0,6.0,145,44.0,0,6.0,19.772727272727273
76.0,6.0,145,43.0,0,5.922077922077922,20.232558139534884
76.0,6.0,145,42.0,0,5.846153846153846,20.714285714285715
77.0,6.0,145,41.0,0,5.848101265822785,21.21951219512195
80.0,6.0,145,40.0,0,6.0,21.75
82.0,6.0,145,39.0,0,6.074074074074074,22.307692307692307
83.0,6.0,145,38.0,0,6.073170731707317,22.894736842105264
84.0,6.0,145,37.0,0,6.072289156626505,23.513513513513512
85.0,6.0,145,36.0,0,6.071428571428571,24.166666666666664
85.0,6.0,145,35.0,0,6.0,24.85714285714286
87.0,6.0,145,34.0,0,6.069767441860465,25.588235294117645
88.0,6.0,145,33.0,0,6.06896551724138,26.36363636363636
88.0,6.0,145,32.0,0,6.0,27.1875
89.0,6.0,145,31.0,0,6.0,28.06451612903226
90.0,6.0,145,30.0,0,6.0,29.0
96.0,6.0,145,29.0,0,6.32967032967033,30.0
97.0,6.0,145,28.0,0,6.326086956521739,31.071428571428573
98.0,6.0,145,27.0,0,6.32258064516129,32.22222222222222
98.0,6.0,145,26.0,0,6.25531914893617,33.46153846153846
98.0,6.0,145,25.0,0,6.189473684210527,34.8
99.0,6.0,145,24.0,0,6.1875,36.25
103.0,6.0,145,23.0,0,6.371134020618557,37.826086956521735
103.0,6.0,145,23.0,0,6.371134020618557,37.826086956521735
103.0,7.0,145,22.0,0,6.3061224489795915,39.54545454545455
103.0,8.0,145,21.0,0,6.242424242424242,41.42857142857143
104.0,8.0,145,20.0,0,6.24,43.5
105.0,8.0,145,19.0,0,6.237623762376238,45.78947368421053
107.0,8.0,145,18.0,0,6.294117647058824,48.33333333333333
108.0,8.0,145,17.0,0,6.29126213592233,51.17647058823529
109.0,8.0,145,16.0,0,6.288461538461538,54.375
110.0,8.0,145,15.0,0,6.2857142857142865,58.0
110.0,8.0,145,14.0,0,6.226415094339623,62.142857142857146
110.0,8.0,145,13.0,0,6.16822429906542,66.92307692307692
110.0,8.0,145,12.0,0,6.111111111111112,72.5
110.0,8.0,145,11.0,0,6.055045871559633,79.0909090909091
110.0,9.0,145,10.0,0,6.0,87.0
111.0,9.0,145,9.0,0,6.0,96.66666666666666
111.0,9.0,145,8.0,0,5.946428571428571,108.75
112.0,9.0,145,7.0,0,5.946902654867257,124.28571428571429
112.0,9.0,145,6.0,0,5.894736842105263,145.0
113.0,9.0,145,5.0,0,5.895652173913043,174.0
114.0,9.0,145,4.0,0,5.896551724137931,217.5
118.0,9.0,145,3.0,0,6.051282051282051,290.0
119.0,9.0,145,2.0,0,6.0508474576271185,435.0
121.0,9.0,145,1.0,0,6.100840336134453,870.0
121.0,9.0,145,0.0,0,6.05,870.0
0.0,0.0,147,119.0,1,0.0,7.411764705882353
0.0,0.0,147,118.0,1,0.0,7.474576271186441
1.0,0.0,147,117.0,1,2.0,7.538461538461538
1.0,0.0,147,116.0,1,1.5,7.6034482758620685
2.0,0.0,147,115.0,1,2.4000000000000004,7.669565217391304
3.0,0.0,147,114.0,1,3.0,7.7368421052631575
7.0,0.0,147,113.0,1,6.0,7.8053097345132745
8.0,0.0,147,112.0,1,6.0,7.875
12.0,0.0,147,111.0,1,8.0,7.945945945945946
13.0,0.0,147,110.0,1,7.800000000000001,8.01818181818182
14.0,0.0,147,109.0,1,7.636363636363637,8.091743119266054
14.0,0.0,147,108.0,1,7.0,8.166666666666668
14.0,0.0,147,107.0,1,6.461538461538462,8.242990654205608
14.0,0.0,147,106.0,1,6.0,8.320754716981131
15.0,0.0,147,105.0,1,6.0,8.399999999999999
16.0,0.0,147,104.0,1,6.0,8.480769230769232
17.0,0.0,147,103.0,1,6.0,8.563106796116505
17.0,0.0,147,102.0,1,5.666666666666666,8.647058823529411
17.0,0.0,147,101.0,1,5.368421052631579,8.732673267326732
17.0,0.0,147,100.0,1,5.1,8.82
21.0,0.0,147,99.0,1,6.0,8.90909090909091
21.0,0.0,147,98.0,1,5.7272727272727275,9.0
22.0,0.0,147,97.0,1,5.739130434782609,9.092783505154639
23.0,0.0,147,96.0,1,5.75,9.1875
24.0,0.0,147,95.0,1,5.76,9.284210526315789
24.0,0.0,147,94.0,1,5.538461538461538,9.382978723404255
25.0,0.0,147,93.0,1,5.555555555555555,9.483870967741936
29.0,0.0,147,92.0,1,6.214285714285715,9.58695652173913
29.0,0.0,147,91.0,1,6.0,9.692307692307693
29.0,0.0,147,90.0,1,5.8,9.8
